C0_CD4_FOXP3_nam,C0_CD4_FOXP3_pva,C0_CD4_FOXP3_log,C1_CD4_CCR7_nam,C1_CD4_CCR7_pva,C1_CD4_CCR7_log,C2_CD8_GZMK_nam,C2_CD8_GZMK_pva,C2_CD8_GZMK_log,C3_CD4_RORA_nam,C3_CD4_RORA_pva,C3_CD4_RORA_log,C4_CD8_GZMB_nam,C4_CD8_GZMB_pva,C4_CD8_GZMB_log,C6_CD4_CXCL13_nam,C6_CD4_CXCL13_pva,C6_CD4_CXCL13_log,C7_CD8_HAVCR2_nam,C7_CD8_HAVCR2_pva,C7_CD8_HAVCR2_log,C8_CD4_CXCL13_nam,C8_CD4_CXCL13_pva,C8_CD4_CXCL13_log,C9_CD4_EZH2_nam,C9_CD4_EZH2_pva,C9_CD4_EZH2_log
TIRAP,0.941643583,-0.03194022,PIBF1,0.649737757,-0.22158144,XPO4,0.679338349,-0.19661127,MANEAL,0.925346156,1.955165,RAD51D,0.873146995,-0.043066107,ARHGAP17,0.830181686,0.014599268,SPAG16,0.978501325,0.010773276,SOAT1,0.870675352,-0.22924708,ZNF519,0.41619292,1.6705198
PRAF2,0.941712592,-0.038574122,GINS3,0.64938521,-0.9297329,HACL1,0.679284021,-0.004829123,ILDR1,0.925346156,1.6833706,ZNF784,0.873084341,-23.191736,TATDN1,0.830336167,-0.13631174,YKT6,0.978519372,0.03333016,ZNF543,0.87082261,0.8741391,GM2A,0.416409797,0.7567486
PODXL,0.941824733,0.7034434,NCEH1,0.649181552,-1.3764282,TRAF6,0.678958088,-0.5862341,SHC4,0.925346156,1.9737241,E2F7,0.873084341,-22.897543,HGH1,0.830353332,0.3867989,MAU2,0.978645698,0.104793385,PEX26,0.87082261,0.043114536,DNAJC24,0.416449236,0.3401392
ZFAND6,0.941962755,-0.021301229,CCDC102A,0.649111061,-1.5495924,TFG,0.678885667,0.054572016,PLA2G4F,0.925370056,1.5263876,TMPRSS6,0.873084341,-23.223867,THAP5,0.830473489,-0.08818999,NRBF2,0.979006634,-0.115078345,RAB21,0.87082261,-0.05030068,CALCOCO1,0.416607015,-0.008870646
SRGAP1,0.94199726,0.35935044,ZDHHC17,0.648703842,-0.29717985,CCDC77,0.678641267,-0.50906605,DSC3,0.925393956,1.626481,LIPC,0.873084341,-23.35473,LIN54,0.830696648,0.24096388,EFNA4,0.979187103,0.11689203,TNFRSF21,0.870920784,0.33552197,ZNF687,0.416863482,1.2852263
TTC28,0.942066272,0.40566927,CDK9,0.648664692,-0.049531683,RFESD,0.678623165,-0.8326753,SHB,0.925393956,1.5671811,TMEM88,0.873084341,-23.198883,TXNRD2,0.830988492,0.09567018,DNAJC14,0.979295385,0.006798783,CPLX1,0.870920784,0.35208035,PIGM,0.416922679,0.8642886
CIPC,0.942109404,0.15144923,LRRC58,0.648609883,-0.03784872,XPR1,0.678605063,-0.33386585,HRH4,0.925393956,1.6392995,PSD3,0.873084341,-23.241652,ACO1,0.831074333,0.08484427,DHRSX,0.979295385,0.02882423,ATE1,0.870920784,0.17239657,DGAT1,0.416981882,0.5280346
THAP3,0.942204296,-0.07011309,SPATA2,0.648414154,-0.62273544,SLC3A2,0.678378801,0.053212143,DHRS9,0.925393956,1.5118538,CYBB,0.873084341,-23.332907,FEM1A,0.831692446,-0.08012988,RHPN2,0.979548045,0.9367468,PWWP2B,0.870969872,0.7430114,CHST2,0.417199001,0.5785139
MAP1A,0.942583872,0.001759125,SLC2A6,0.648148001,-1.1038052,IL12RB2,0.678333552,-1.6684803,SLC16A9,0.925393956,1.6372346,NOS3,0.873084341,-23.354322,PIP4K2C,0.831761132,0.08174668,KCNMB3,0.979548045,0.9316968,LRRC2,0.871068049,0.742564,NUDT9,0.417337202,0.31557018
PYGL,0.942808172,-0.16331069,NDFIP1,0.648108865,-0.010385437,GLRX5,0.678152569,0.006434079,CHST15,0.925417856,1.0715894,ESPL1,0.873084341,-22.960606,SLC38A7,0.831795475,0.68459845,FAM72B,0.979584139,1.0702525,WBP1L,0.871117139,-0.29555106,PSD4,0.417751968,-0.24250548
TRIB3,0.942885816,0.046699546,DPEP1,0.647803635,-1.0426832,SMIM20,0.678125423,0.065688,ZNF843,0.925417856,1.066344,SLC11A1,0.873084341,-23.249004,RFNG,0.831829819,0.6730127,CMTM4,0.979656328,0.791639,MZB1,0.87126441,0.07559569,MAVS,0.417870517,-0.14906818
INSR,0.942937579,0.43421158,RARA,0.647803635,-0.05021753,RFX2,0.677799704,-1.7860477,TTC23,0.925417856,1.6022648,POPDC2,0.873084341,-23.203724,PTK6,0.831829819,0.5609386,SIRPB1,0.979692423,0.6105785,PLEKHG1,0.87126441,0.4653456,IPO13,0.417870517,1.5164999
SLC36A1,0.942972088,0.45637473,BOD1,0.647756681,-0.15718119,TAGLN,0.677745423,-0.07369447,DQX1,0.925441756,1.4373089,NRP2,0.873084341,-23.223858,KLF11,0.832070234,0.50689083,IQCC,0.979692423,0.73330027,GNAO1,0.871411686,0.6226976,CPM,0.417949561,0.16947788
GTPBP10,0.943092869,-0.087568976,CCDC127,0.647474991,-0.09225042,APOBEC3C,0.67772733,0.005313765,EMCN,0.925441756,1.1578373,SRGAP1,0.873084341,-23.290525,ZNF248,0.832224794,0.38517871,ANKRD13B,0.979692423,0.70946354,PDE4C,0.871411686,0.2389401,OSBPL2,0.418186745,-0.012049528
CASP4,0.943187769,-0.001125654,FBXO30,0.647318519,-1.2707987,ABCC5,0.677627821,-0.6635561,PZP,0.925441756,1.4790316,C19orf73,0.873084341,-23.317366,TAS2R14,0.832345013,1.5897583,RASL11B,0.979692423,0.5428207,NUGGC,0.871411686,0.67712915,STK40,0.418522892,0.5174609
TRIM37,0.943299925,0.023417894,SP4,0.647201175,-0.087948725,UBE2O,0.677519272,-0.4212077,HOXA5,0.925441756,1.4331219,STXBP6,0.873084341,-23.306868,WBP1L,0.83251676,-0.058233093,DUT,0.979728518,-0.028681695,SLAMF8,0.871558967,-0.17243336,SULT1A3,0.418621789,1.4838455
ZNF653,0.94335169,0.29831213,ZMPSTE24,0.647083839,0.0714241,BTNL8,0.677492136,-1.9511875,GRIN2C,0.925441756,1.3189305,PRRG2,0.873084341,-23.418018,RHOBTB2,0.83255111,1.6639107,FUT6,0.979764612,0.5068052,ARHGEF10,0.871608061,-0.81899977,NEURL1B,0.418661351,3.401788
FBXO48,0.943368944,0.44424614,ELL2,0.647060373,-0.79947746,ARSB,0.677455955,-2.108781,PAPPA,0.925441756,1.3234104,MYO7B,0.873084341,-23.371098,MT1A,0.832585461,1.5150893,ARRDC4,0.979764612,0.59494406,RIOK2,0.871755347,0.05549548,PLAGL2,0.418661351,0.5623181
ZNF556,0.943386199,0.28773397,SMTN,0.646989977,-0.70446986,CSF2RB,0.677437865,-2.1435397,MATR3,0.925441756,1.2663436,DUSP14,0.873068678,-0.33494157,PUS3,0.832585461,-0.056881987,RAD1,0.97978266,-0.008625421,B4GALT3,0.871853541,-0.22243693,ZBTB45,0.418700916,1.3325557
ECE2,0.943627772,0.07849717,TMEM97,0.6468883,-0.7879574,ACOX3,0.677356461,-0.42682675,TEX22,0.925489556,0.7504603,BOD1,0.872943373,-0.057461135,LYSMD3,0.832619812,-0.15408435,MLPH,0.979800707,0.42071265,PAK1IP1,0.872221783,-0.25639892,BST2,0.418958141,0.11949719
ZNF316,0.943645027,0.07186425,TYW1B,0.646817911,-1.3071951,DARS2,0.677220797,-2.1885462,FZD4,0.925489556,1.3421617,SMTN,0.872849396,-0.3734545,CDC42EP2,0.832757219,1.4152157,ARHGEF16,0.979800707,0.5150758,VPS28,0.872295435,0.113225974,MBLAC1,0.418977931,2.9754822
ZBTB18,0.943696793,0.19422975,PRPF3,0.646716245,-0.06080456,GM2A,0.677003756,-0.37334925,DST,0.925537356,0.65160865,THBS1,0.87281807,-0.42526206,NRGN,0.833032049,1.1923091,C5AR1,0.979800707,0.36786023,VAMP1,0.872344537,0.07844628,TJP2,0.419017514,1.1850662
DTD1,0.943731304,-0.0915025,ZNF75D,0.646489474,-0.7804912,MED20,0.676976627,-0.9968457,TFEB,0.925549306,0.08550557,TMEM170A,0.872802408,0.02840571,ANKHD1,0.833083582,-0.016714737,TCEANC,0.979800707,0.50622475,GSR,0.872393639,0.01419887,ZNF91,0.419373854,0.075799204
SPIRE2,0.943852094,0.06714947,MTAP,0.646481655,0.005987707,SPATA2L,0.6767777,-0.43938014,ZNF844,0.925561256,0.5699989,TMEM204,0.872771083,0.004670876,KRBA2,0.833135116,1.0173265,LYG2,0.979872896,0.4055125,SETMAR,0.872418191,1.0758929,ZNF211,0.42008707,0.8286095
COG7,0.943903861,-0.06175896,SPPL2B,0.645989132,-0.14037591,TSC1,0.676732492,-0.45423993,DDC,0.925585157,0.8202117,PAIP2B,0.872755421,-1.1572559,IGFBP5,0.833272542,0.2644659,CD163,0.979908991,0.38664624,ACD,0.872442742,-0.21882236,GTF2H2C,0.42016636,0.7982925
TBKBP1,0.94399014,0.054048337,ARRB1,0.645848439,-0.37027228,RBKS,0.676723451,-0.4911847,CCNE1,0.925632958,1.0139308,ACSF2,0.872724096,-0.39170754,PPIL2,0.833444333,-0.069288604,CRHR1,0.979908991,0.319411,STRBP,0.872467294,0.10500944,FOXRED2,0.420364624,3.327647
FAM167B,0.943998768,0.4883952,PLXNB2,0.64580936,-0.6244862,PDE9A,0.676569754,-2.7671914,SOCS6,0.925656858,0.90821904,RCAN1,0.872379538,-0.1887762,TNS1,0.833444333,0.9032131,PPP1R2,0.979908991,0.010476891,TGFBR3,0.872761922,0.0888003,GZF1,0.420582777,1.3795773
NUP43,0.944050536,0.018324625,USP19,0.645707759,-0.36667803,PRKACA,0.676533592,-0.08321949,SYNPO2L,0.925680759,0.91418785,AP4M1,0.872191608,-0.23959737,LGALS2,0.833444333,0.54111725,ITIH5,0.979945086,0.32228106,SYPL1,0.872835582,-0.1916786,IFFO2,0.420820839,1.2181928
DHX58,0.944093676,-0.049335927,DUSP5,0.645387369,-0.28145626,AK9,0.676524552,-0.27111405,PLEKHH2,0.925680759,0.9836754,SLPI,0.872160287,-0.17346632,PEA15,0.833598951,-0.04884632,FAM86B1,0.979945086,0.23287566,SLC31A2,0.872982905,-0.75452113,SPECC1L,0.420939899,1.260594
TBC1D13,0.944102304,-0.011760651,CARS2,0.645356115,-0.075312786,HOXB7,0.676397992,-1.0980006,PLD1,0.92572856,0.7339999,LMNB2,0.872128966,0.11695651,GK5,0.83394257,0.043413084,RNF128,0.979981181,0.26854533,KIF21A,0.87300746,-0.20621896,RABEP2,0.42097959,0.36058217
PPP2R1B,0.944145444,0.062359113,DHX37,0.645348301,-0.7771277,TRIM52,0.676352794,-0.16651666,ZNF417,0.92572856,0.76106083,ADNP,0.872128966,-0.042158425,POFUT1,0.833976933,0.12910269,YPEL4,0.979981181,0.2192657,POFUT2,0.873032014,0.25151786,ALG14,0.421138377,1.1398765
MAPK3,0.944223097,0.022585237,ZNHIT2,0.645277982,-0.35519746,ATF7IP,0.676172014,0.07495357,CFTR,0.925752461,0.95805454,BRAT1,0.872081985,-0.024888735,PITPNM1,0.834148756,0.06754489,TTC7B,0.979981181,0.1225568,LPCAT1,0.873081123,-0.21198675,CROT,0.421237637,0.52750117
NEXN,0.944248982,-0.12859175,ZSCAN25,0.645067044,-0.8982798,ST14,0.676054517,-1.2074128,ALDH6A1,0.925764411,-0.013979973,ZNF346,0.871862747,-0.12823778,XRRA1,0.834183122,-0.082573704,JDP2,0.979981181,0.2733589,C3orf33,0.873302121,0.85315776,F12,0.421376623,0.9983368
PHRF1,0.944274866,-0.05951413,TCF3,0.645043608,-0.18599647,SLC38A9,0.67600029,-0.3159566,UNC5B,0.925776362,0.7050227,MED23,0.871737473,-0.1344677,CAMK2N1,0.834354954,0.046788815,ZNF490,0.980017276,-0.02640327,MIDN,0.873326677,-0.20651859,ZSCAN2,0.421376623,1.0448916
ALKBH1,0.944533714,0.05983599,ZNF277,0.644996738,-0.023493486,TBRG4,0.675819547,0.02467081,EBF1,0.925776362,0.6264102,ZNF75D,0.871690496,-0.6087255,PRKAB2,0.834372138,0.14328848,ZWILCH,0.980017276,0.27566218,MIER3,0.873474014,0.20179814,CCL28,0.421873223,0.86024386
TRAPPC13,0.944550971,0.03550535,IDE,0.644988926,-0.32741696,KANK3,0.675602679,-23.996988,LRRC37A3,0.925800263,0.808233,HMGA1,0.871596543,0.019585937,ZDHHC8,0.834423689,0.19464667,MAPK8IP1,0.980053371,-0.1790764,ECHDC2,0.873498571,-0.084905,SCD5,0.422032208,3.5866687
SULT2B1,0.944550971,0.29455099,MRPS27,0.644981115,-0.050635736,SHPRH,0.675403908,0.024519984,CAB39L,0.925824164,0.48429874,DENND6B,0.871580884,0.012044145,UBE2D4,0.834595532,-0.009628518,LRRC29,0.980053371,-0.2597714,HDAC11,0.873645914,0.6694196,TRIM27,0.422250869,-0.03229194
LSM11,0.944671769,0.32396853,TECPR1,0.644645254,-0.17251767,CEP164,0.675376804,0.03542423,RARS2,0.925836114,0.08236438,BATF3,0.871533909,-0.19254535,MLC1,0.834750198,5.702381,ANKRD18A,0.980053371,0.16876794,COQ9,0.873645914,-0.11571079,RNF145,0.422330398,-0.3276137
WBP2NL,0.944758054,0.25293264,ZNF200,0.644629634,-0.4302389,CCZ1B,0.675259361,-0.197097,NR5A2,0.925848065,0.32934502,ZNF736,0.871533909,-0.6258844,RBBP9,0.834818941,0.43537745,CYP4F12,0.980053371,0.01226515,EML2,0.873989731,-0.13336326,RNASE1,0.422370166,0.6531073
ZBTB5,0.944827082,0.13314125,GPHN,0.644614015,-0.6193396,HMGCL,0.674988367,0.003958566,KIF27,0.925871966,0.630158,NOTCH1,0.871439959,0.011367118,GPRIN3,0.835093923,-0.14794903,PSPN,0.980053371,-0.12565213,PXN,0.87425989,-0.096455604,ARHGAP21,0.422390051,1.5376776
SH3BGRL2,0.944947883,0.16686969,NAPB,0.644606205,-0.8678147,SKA1,0.674952238,-1.086642,ATL1,0.925871966,0.48575082,FAM120A,0.871408643,0.016648289,AK1,0.835162672,-0.120287836,HEMGN,0.980053371,0.1326727,PALLD,0.874284451,0.23021312,USP24,0.422489483,0.3876822
ATP6V1H,0.945154973,-0.059211306,ANKRD49,0.64418454,0.012132989,RRNAD1,0.674807729,-0.118833184,HNF4G,0.925895867,0.7061116,CEP78,0.871408643,-0.08216248,NUP188,0.835162672,0.13820185,SIK1,0.980089466,0.015833436,GOLGA1,0.874309012,-0.23511916,TNRC18,0.422708283,1.0716922
NAT9,0.945413841,-0.02805142,ATG2B,0.643755184,-0.45695174,FAM3D,0.6746542,-0.46798822,MEIG1,0.92594367,0.27222607,FANCB,0.871377327,-0.9956775,CD5,0.835179859,-0.11860376,PCP2,0.980089466,-0.3632526,PIGO,0.874309012,0.2514452,ZNF581,0.422787863,-0.07789817
ALDH16A1,0.945474244,-0.06195883,MTX3,0.643739573,-0.26917586,PTDSS2,0.674455537,-0.8113913,SMKR1,0.926015374,0.62472326,PTK6,0.871252065,-1.159556,ACTR5,0.835867419,-0.17268763,CPXM1,0.980089466,-0.29430884,SLC25A29,0.874333573,-0.1261611,WWC3,0.422847554,0.4035964
ZCCHC3,0.945551906,0.03677512,GBP7,0.643723962,-0.33155623,DUS4L,0.674247868,-0.5883462,ADAM22,0.926110981,0.4159224,CSRNP2,0.871236407,-0.29479036,TMLHE,0.835867419,-0.057551187,C7,0.980089466,-0.001115455,CLCN7,0.874407256,0.15356661,C12orf73,0.422867452,0.0451102
MOK,0.945569165,-0.09647085,SIL1,0.643700547,-0.07267538,CSTF3,0.674049251,0.034386747,CKMT1A,0.926146834,0.61779994,SLC38A7,0.87122075,-1.2057035,MORC3,0.8363144,-0.20452552,DDIAS,0.980089466,0.62272555,TBCEL,0.874431817,0.22433658,SOS2,0.423424819,0.6860146
HSD11B1L,0.945586423,0.04455373,MICB,0.643630302,-0.056913376,USP30,0.673995086,-1.7266613,GNPNAT1,0.926170736,0.25842124,THAP5,0.871189435,-0.055553786,GBA2,0.836383171,-0.053516343,STRADA,0.980125561,-0.33533114,WIPI2,0.874677437,-0.25215182,LPIN1,0.423524394,-0.0860829
MEIS1,0.945733119,2.1404212,PRPS2,0.643630302,0.029159214,PHF7,0.673778446,-0.9454649,BRICD5,0.926182687,0.5118608,TRERF1,0.871173778,-0.35851738,ZNF555,0.836606685,1.5311179,CIITA,0.980378227,0.34368876,WRNIP1,0.874800252,-0.04076873,PDE4DIP,0.423942758,-0.20675093
FAM98A,0.945741749,0.030845413,MAPRE1,0.643536648,0.036016233,GPRASP1,0.673670136,-1.9000845,ZNF79,0.926182687,0.46334356,ARL13B,0.871126806,-0.18459307,OSBP2,0.836606685,1.6059952,KATNA1,0.980414322,0.05887623,NME2,0.874800252,0.23843348,SEMA7A,0.424181932,1.5188737
ZNF667,0.945750378,2.107715,DIAPH2,0.643333749,-0.20382695,ARHGAP21,0.673652085,-0.914232,XKR6,0.926350003,0.4380745,IL13RA1,0.871095492,-1.2748232,WDR74,0.83670985,-0.28261185,TUFT1,0.980486513,0.32005706,CEP85,0.874849379,0.24745281,HDHD3,0.424540841,-0.31105176
STK38,0.945905706,0.016074536,FAHD1,0.64331034,-0.29180717,ERMP1,0.673643059,-0.9524362,CLHC1,0.926385857,0.36967027,TMEM67,0.871001551,-1.347769,UNC93B1,0.836744239,0.030736554,ADIRF,0.98084747,-0.10744762,HSD17B4,0.874898506,0.017144972,TRAF5,0.424580731,-0.38848743
SPAG9,0.94617322,-0.07234177,GAN,0.64328693,-0.35312644,ASS1,0.673345246,-0.43882933,FNIP2,0.926493419,0.40490744,HOXB9,0.871001551,-1.3271197,VASH1,0.836950579,0.668743,RBM27,0.980919662,0.015475097,RFX1,0.875193279,0.011578416,FGGY,0.424840068,1.4881126
ZBTB45,0.946423481,0.012298183,UTP6,0.643115273,-0.014750745,RNF185,0.673155755,-0.4605483,HPS4,0.926505371,0.10981372,PDGFRB,0.870970237,-1.351121,HEMK1,0.83698497,-0.09590925,GPAT2,0.980919662,0.10750164,PBX3,0.875266975,0.199977,GPR180,0.424979749,0.7908333
MICALL2,0.946423481,-0.011792562,GBA2,0.642920231,-0.39099228,CHCHD6,0.672921176,-0.45885733,SH3BGRL2,0.926636838,0.38883966,ZNF45,0.870970237,-1.3223996,AKAP8L,0.837088146,-0.22521986,AARS2,0.981064046,0.07659349,CREB1,0.875266975,-0.23329887,TUBD1,0.425019663,0.6765297
MYO18A,0.946596077,0.049880303,TBCC,0.642709613,0.026935946,TBC1D9B,0.672849004,-0.049618617,TNRC6C,0.926648789,0.04147273,THOC6,0.870876298,0.114715576,ZBTB34,0.837088146,1.2301592,TAF9,0.981172334,-0.045162015,NAP1L4,0.875438936,-0.020307157,ZNF317,0.425219265,1.1353925
RASA1,0.946699636,0.089455746,SIAH2,0.642701813,-0.14506283,IDUA,0.672803899,-1.0559216,OGFOD1,0.926696596,-0.0769058,ZNF844,0.870813673,-1.4881779,NUP160,0.837088146,-0.25678197,CHRAC1,0.981298671,-0.002361573,CLSPN,0.875512636,0.27436492,TOP3B,0.425259192,0.81043226
TMEM42,0.946785936,-0.038876068,DCAF17,0.642553619,-0.42209846,ORC2,0.672785857,-0.13808315,PEX11A,0.926732452,0.26102972,GRTP1,0.870751049,-1.482158,RFX3,0.837105342,0.34399414,FAT1,0.981316719,0.025613284,WDR83,0.875610904,-0.12427252,DCAF17,0.425498799,0.6352634
PAPPA,0.946941278,1.4652501,TGFBR2,0.641243887,0.024935666,MRPS9,0.672677609,0.04494053,LSM11,0.926732452,0.34497577,KCTD12,0.870688426,-1.4902697,SMIM10,0.837156931,1.2360816,ZFP28,0.981388912,0.040306788,SGMS1,0.875635471,0.14277115,APOBEC3F,0.425558713,0.50080025
TMEM231,0.946958538,1.286532,ITGAM,0.640986749,-23.806875,TRIT1,0.672659568,-0.67538756,TMEM189,0.926780259,-0.06398311,ATG4C,0.870688426,-0.1647901,BET1L,0.837191324,0.14114642,ARMC5,0.981461105,-0.11927468,BCS1L,0.875709174,0.1893536,NXF1,0.425578686,-0.02110569
TGFA,0.946975798,1.4388134,ZNF426,0.640924419,-0.2543214,FANCB,0.672569367,-2.220199,UNC119B,0.926804163,0.37115824,ANKS1A,0.870625803,-1.679475,DENND4A,0.837225717,-0.2665946,BRPF1,0.981569395,0.19264762,NEU1,0.87588115,-0.31922248,RAB11FIP2,0.426098163,0.94931024
GRIN2C,0.946993059,1.2419137,POGK,0.640924419,-0.21225205,C16orf70,0.67249721,-1.1651865,FAM220A,0.926828066,0.35262015,DST,0.870469251,-1.9994774,GEM,0.837311702,0.015071371,NLRC3,0.98162354,-0.034106944,DOCK9,0.876077702,0.089799166,ZNF226,0.426458018,0.08944957
ITPRIPL1,0.947001689,0.010950975,SLC9A9,0.640316835,-0.04319678,STIL,0.67249721,-2.6153483,PCYOX1,0.927055156,0.009300229,PGM2,0.870390976,0.005655428,TM9SF4,0.837449281,-0.11204969,TIGD7,0.981785975,-0.2970515,PITPNC1,0.876102272,-0.14309062,BCDIN3D,0.42653801,0.4927084
TMEM150C,0.947010319,0.9847191,GINS1,0.640285683,-2.0182948,CD3EAP,0.67249721,-2.5763342,VNN2,0.927210536,0.28355616,ATP9A,0.870234431,-0.3572954,TBC1D15,0.837518073,-0.04349558,MBIP,0.982002557,-0.15549791,HMMR,0.876175981,0.16825978,ABCC10,0.426558009,0.81683904
CSF3R,0.947010319,1.1631253,ORC1,0.640285683,-2.0550566,GRAP2,0.672397999,0.018120738,SLC19A1,0.927258346,0.24570458,STK35,0.870109199,-0.2841816,GINM1,0.83765566,-0.12989092,BRPF3,0.982002557,0.1259238,ZNF445,0.876200551,0.33204928,PPP1R12B,0.426598009,0.542032
PM20D1,0.947010319,0.91002625,ZBTB4,0.639904127,-0.17353058,ZG16,0.672397999,-0.570539,GMEB2,0.927306156,0.2965638,GPM6B,0.869811785,-0.080308825,FBXO11,0.837982448,-0.13381986,INPP5E,0.982002557,0.056606796,DTNB,0.876274262,0.2923218,CCDC74A,0.42661801,1.3970455
SP6,0.94702758,1.051394,TMEM39B,0.639748417,-0.2854092,METRNL,0.672208612,-0.70214033,SLC16A7,0.927365919,0.00586098,APMAP,0.869780479,0.055664655,PGAM5,0.838016849,0.46849555,GGACT,0.982074751,-0.06278787,TSC22D4,0.876274262,-0.025115244,GFOD2,0.426658014,0.53657144
HOXA5,0.94702758,1.0378363,RECQL4,0.639662783,-1.2084185,SLC33A1,0.671775806,-0.13241686,ZNF160,0.927389825,0.07004777,HMG20A,0.869623954,-0.13878244,TMEM184C,0.838223258,-0.046289302,DCTN4,0.982110848,0.024208425,PDGFRB,0.876470829,0.78524274,ZNF83,0.4269381,-0.11771856
FOXA1,0.94702758,1.0281469,COL5A2,0.639584938,-1.9498926,VPS4A,0.671712697,0.049915817,ACVR2A,0.927604976,0.30809766,TGFBRAP1,0.86959265,-0.4626478,ZNRF2,0.838292063,0.24317776,MFAP4,0.982146945,0.14031944,GGT7,0.876470829,0.38557965,CCDC171,0.4269381,3.1315777
CCHCR1,0.94703621,0.1279081,EIF3D,0.639507098,-0.056088865,ZNF512B,0.671496343,-1.1548673,ARHGAP27,0.927664741,0.007132193,BRF2,0.869342222,-0.46750936,TRAF3IP1,0.838429678,0.44932982,HRH2,0.98221914,0.05724085,CCL3L3,0.8764954,0.004491217,CEP170,0.426978121,0.84825295
ILDR1,0.94704484,1.1042114,ZDHHC13,0.639468179,-0.053126104,ZHX1,0.671415217,-0.20991798,GDPD1,0.927688647,0.07911618,LMBRD2,0.869248315,-0.29018566,WDR25,0.838429678,0.30698898,DEDD2,0.982363529,-0.051307693,DHPS,0.876593687,-0.1559024,UBE2W,0.427058169,-0.25483885
TMEM51,0.94704484,0.85184246,B3GAT1,0.639398127,-2.1403806,TMEM251,0.671280016,-0.25157753,ZFYVE27,0.92773646,0.14013188,ABHD10,0.86917006,-0.08253067,EXOC8,0.83863611,0.081534214,SH2B3,0.982399627,0.17119484,DNAJC14,0.876618259,-0.23583572,CD3G,0.427198275,0.50780046
ASPHD1,0.94704484,0.5678755,FEM1B,0.639296947,-0.10182083,RAB3IP,0.67108174,-0.17102467,ZNF551,0.92773646,0.15742986,ABCC5,0.869154409,-0.50677663,ZNF678,0.838842552,0.4320816,TCP11L2,0.982417676,-0.21603516,ARF3,0.876667403,-0.044150345,POLB,0.427218293,0.7389318
LRP3,0.94704484,0.71792585,UTY,0.639040137,-1.1709454,TMEM9,0.670658227,-0.12399681,NFKBIB,0.928059201,0.08656387,PINX1,0.869123108,-0.000776378,MED13L,0.838928573,-0.004086756,SCYL2,0.982435724,-0.04994131,WBP1,0.876716548,0.77870256,SLC9A6,0.427418496,1.2734835
TPSG1,0.94704484,0.7376216,ORC2,0.638946762,-0.17897995,CTNND1,0.670532094,-0.914183,HLA-DQB1,0.928071155,-0.04220333,MMS19,0.869107457,-0.17603119,C19orf33,0.839221059,0.046931837,EPG5,0.982507919,0.07659717,PTPN7,0.876765694,0.017253138,TRMO,0.427538645,0.3643373
PRRG3,0.9470621,0.76857007,IFT43,0.638915638,-0.07644031,GPRC5A,0.670045669,-0.9042585,TAOK2,0.928083108,0.16502282,MKS1,0.869013555,-0.7917437,ZNF846,0.83925547,0.4372673,MAML1,0.982688408,-0.075521275,P4HA2,0.87681484,0.5824824,SRBD1,0.427618755,0.7208496
UNC45B,0.9470621,0.7118259,TACSTD2,0.638822271,-1.1711726,URI1,0.669910576,-0.009471738,BRPF3,0.928334138,0.15556368,DPEP1,0.868966604,-0.8137442,ST14,0.839427533,0.28280172,PDLIM5,0.982706457,-0.043893106,ZNF736,0.876863986,0.71008587,PAPOLG,0.427738936,0.5137066
SPDEF,0.9470621,0.81363124,SELL,0.638760029,0.07875516,ENO2,0.669730468,0.003316627,UBXN8,0.92837,0.19599026,ZNF568,0.868935304,-0.539031,CHD2,0.839427533,-0.17090552,LYSMD4,0.982868897,-0.026404219,HOXB9,0.876863986,0.59499127,TRABD2A,0.427738936,-0.17579357
KCTD14,0.9470621,0.85413474,TRAF3IP1,0.638573319,-0.8575489,ANKS3,0.669559383,-0.16062301,VIL1,0.928381954,0.17593373,C8orf82,0.868935304,-0.80124396,NKRF,0.839634018,-0.12241519,PFKM,0.982941093,-0.13039216,PLA2G15,0.876913133,0.41226444,ANO9,0.427859136,0.114940144
LINGO3,0.9470621,1.1008852,NETO2,0.638355519,-1.5359507,PPP1R9B,0.669496356,-0.19792846,P2RY11,0.928501495,-0.14393038,DNAJC11,0.868872705,-0.16941407,FAR2,0.839806097,-0.065522484,ZNF362,0.982959142,0.33142146,HES4,0.87696228,0.5123262,ZNF628,0.428019435,0.90625775
AMOT,0.9470621,0.8448839,POLH,0.638339964,-0.380469,CCL23,0.669307289,-1.8563247,SNX16,0.928740583,0.15466678,SAFB,0.868778807,0.01274759,PBX3,0.840133068,0.11613482,HDAC1,0.983013289,-0.019858224,ZC4H2,0.87696228,0.7463323,IL23R,0.428059515,0.86420494
AC011043.1,0.9470621,0.88809013,KLHL15,0.638308852,-1.4747717,C2CD5,0.669127245,-0.49112982,MEN1,0.928788401,0.20089373,ANKFY1,0.868731858,-0.047687594,TM9SF1,0.840184698,0.115955815,HDHD3,0.983121583,0.09933486,ERO1B,0.877208023,-0.2085416,ABCF3,0.428420333,-0.025057698
HOXD8,0.947079361,0.4969883,ARNTL2,0.638262186,-1.288388,CCDC15,0.668821214,-2.3313522,PLD2,0.928824265,-0.017347896,EIF5B,0.86870056,-0.000794867,PNMA1,0.840270749,-0.057704497,TMEM254,0.98319378,-0.18993792,CEBPB,0.877208023,-0.22288413,DNASE1,0.428460435,0.3153947
